File with results:  out,,,,,Filtered,B,0.1,,,,,,,,,,,,,,,,
39.21,0,0,,,39.21,0,,,,,,,,,,,,,,,,,
39.278,0,0,,,39.278,0,,,,,,,,,,,,,,,,,
39.349,0,0,,,39.349,0,,,,,,,,,,,,,,,,,
39.422,0,0,,,39.422,0,,,,,,,,,,,,,,,,,
39.49,0,0,,,39.49,0,,,,,,,,,,,,,,,,,
39.558,0,0,,,39.558,0,,,,,,,,,,,,,,,,,
39.639,0,0,,,39.639,0,,,,,,,,,,,,,,,,,
39.717,0,0,,,39.717,0,,,,,,,,,,,,,,,,,
39.79,0,0,,,39.79,0,,,,,,,,,,,,,,,,,
39.861,0,0,,,39.861,0,,,,,,,,,,,,,,,,,
39.93,0,0,,,39.93,0,,,,,,,,,,,,,,,,,
40.001,0,0,,,40.001,0,,,,,,,,,,,,,,,,,
40.243,0,0,,,40.243,0,,,,,,,,,,,,,,,,,
40.314,0,0,,,40.314,0,,,,,,,,,,,,,,,,,
40.389,0,0,,,40.389,0,,,,,,,,,,,,,,,,,
40.463,0,0,,,40.463,0,,,,,,,,,,,,,,,,,
40.535,0,0,,,40.535,0,,,,,,,,,,,,,,,,,
40.602,0,0,,,40.602,0,,,,,,,,,,,,,,,,,
40.67,0,0,,,40.67,0,,,,,,,,,,,,,,,,,
40.739,0,0,,,40.739,0,,,,,,,,,,,,,,,,,
40.81,0,0,,,40.81,0,,,,,,,,,,,,,,,,,
40.881,0,0,,,40.881,0,,,,,,,,,,,,,,,,,
40.95,0,0,,,40.95,0,,,,,,,,,,,,,,,,,
41.013,0,0,,,41.013,0,,,,,,,,,,,,,,,,,
41.114,0,0,,,41.114,0,,,,,,,,,,,,,,,,,
41.182,0,0,,,41.182,0,,,,,,,,,,,,,,,,,
41.252,0,0,,,41.252,0,,,,,,,,,,,,,,,,,
41.318,0,0,,,41.318,0,,,,,,,,,,,,,,,,,
41.386,0,0,,,41.386,0,,,,,,,,,,,,,,,,,
41.458,0,0,,,41.458,0,,,,,,,,,,,,,,,,,
41.531,0,0,,,41.531,0,,,,,,,,,,,,,,,,,
41.602,0,0,,,41.602,0,,,,,,,,,,,,,,,,,
41.675,0,0,,,41.675,0,,,,,,,,,,,,,,,,,
41.779,0,0,,,41.779,0,,,,,,,,,,,,,,,,,
41.853,0,0,,,41.853,0,,,,,,,,,,,,,,,,,
42.089,0,0,,,42.089,0,,,,,,,,,,,,,,,,,
42.162,0,0,,,42.162,0,,,,,,,,,,,,,,,,,
42.401,0,0,,,42.401,0,,,,,,,,,,,,,,,,,
42.48,0,0,,,42.48,0,,,,,,,,,,,,,,,,,
42.549,0,0,,,42.549,0,,,,,,,,,,,,,,,,,
42.623,0,0,,,42.623,0,,,,,,,,,,,,,,,,,
42.696,0,0,,,42.696,0,,,,,,,,,,,,,,,,,
42.765,0,0,,,42.765,0,,,,,,,,,,,,,,,,,
42.834,0,0,,,42.834,0,,,,,,,,,,,,,,,,,
42.905,0,0,,,42.905,0,,,,,,,,,,,,,,,,,
42.975,0,0,,,42.975,0,,,,,,,,,,,,,,,,,
43.039,0,0,,,43.039,0,,,,,,,,,,,,,,,,,
43.114,0,0,,,43.114,0,,,,,,,,,,,,,,,,,
43.186,0,0,,,43.186,0,,,,,,,,,,,,,,,,,
43.26,0,0,,,43.26,0,,,,,,,,,,,,,,,,,
43.336,0,0,,,43.336,0,,,,,,,,,,,,,,,,,
43.419,0,0,,,43.419,0,,,,,,,,,,,,,,,,,
43.49,0,0,,,43.49,0,,,,,,,,,,,,,,,,,
43.559,0,0,,,43.559,0,,,,,,,,,,,,,,,,,
43.63,0,0,,,43.63,0,,,,,,,,,,,,,,,,,
43.94,0,0,,,43.94,0,,,,,,,,,,,,,,,,,
44.006,0,0,,,44.006,0,,,,,,,,,,,,,,,,,
44.118,0,0,,,44.118,0,,,,,,,,,,,,,,,,,
44.193,0,0,,,44.193,0,,,,,,,,,,,,,,,,,
44.267,0,0,,,44.267,0,,,,,,,,,,,,,,,,,
44.339,0,0,,,44.339,0,,,,,,,,,,,,,,,,,
44.41,0,0,,,44.41,0,,,,,,,,,,,,,,,,,
44.482,0,0,,,44.482,0,,,,,,,,,,,,,,,,,
44.554,0,0,,,44.554,0,,,,,,,,,,,,,,,,,
44.623,0,0,,,44.623,0,,,,,,,,,,,,,,,,,
44.698,0,0,,,44.698,0,,,,,,,,,,,,,,,,,
44.771,0,0,,,44.771,0,,,,,,,,,,,,,,,,,
44.839,0,0,,,44.839,0,,,,,,,,,,,,,,,,,
44.907,0,0,,,44.907,0,,,,,,,,,,,,,,,,,
44.978,0,0,,,44.978,0,,,,,,,,,,,,,,,,,
45.05,0,0,,,45.05,0,,,,,,,,,,,,,,,,,
45.12,0,0,,,45.12,0,,,,,,,,,,,,,,,,,
45.193,0,0,,,45.193,0,,,,,,,,,,,,,,,,,
45.267,0,0,,,45.267,0,,,,,,,,,,,,,,,,,
45.34,0,0,,,45.34,0,,,,,,,,,,,,,,,,,
45.403,0,0,,,45.403,0,,,,,,,,,,,,,,,,,
45.471,0,0,,,45.471,0,,,,,,,,,,,,,,,,,
45.542,0,0,,,45.542,0,,,,,,,,,,,,,,,,,
45.611,0,0,,,45.611,0,,,,,,,,,,,,,,,,,
45.675,0,0,,,45.675,0,,,,,,,,,,,,,,,,,
45.747,0,0,,,45.747,0,,,,,,,,,,,,,,,,,
45.817,0,0,,,45.817,0,,,,,,,,,,,,,,,,,
45.883,0,0,,,45.883,0,,,,,,,,,,,,,,,,,
45.958,0,0,,,45.958,0,,,,,,,,,,,,,,,,,
46.027,0,0,,,46.027,0,,,,,,,,,,,,,,,,,
46.099,0,0,,,46.099,0,,,,,,,,,,,,,,,,,
46.171,0,0,,,46.171,0,,,,,,,,,,,,,,,,,
46.246,0,0,,,46.246,0,,,,,,,,,,,,,,,,,
46.318,0,0,,,46.318,0,,,,,,,,,,,,,,,,,
46.696,0,0,,,46.696,0,,,,,,,,,,,,,,,,,
46.77,0,0,,,46.77,0,,,,,,,,,,,,,,,,,
46.838,0,0,,,46.838,0,,,,,,,,,,,,,,,,,
46.915,0,0,,,46.915,0,,,,,,,,,,,,,,,,,
46.984,-0.00176714872941375,-0.00117809919174761,,,46.984,-0.000176714872941375,,,,,,,,,,,,,,,,,
47.064,-0.000589049595873803,-0.000589049595873803,,,47.064,-0.000217948345234618,,,,,,,,,,,,,,,,,
47.139,-0.00235619838349521,-0.00117809919174761,,,47.139,-0.000431773349060677,,,,,,,,,,,,,,,,,
47.218,-0.00117809919174761,-0.00117809919174761,,,47.218,-0.00050640593332937,,,,,,,,,,,,,Fourier Transform,,,,
47.286,-0.00117809919174761,0,,,47.286,-0.000573575259171194,,,,,,,,,,,,,Input data range : $B$314:$B$806,,,,
47.355,-0.00176714872941375,-0.00117809919174761,,,47.355,-0.000692932606195449,,,,,,,,,,,,,Real,Imaginary,,,
47.423,-0.00176714872941375,-0.000589049595873803,,,47.423,-0.000800354218517279,,,,,,,,,,,,,-0.759284917148762,-2.63934262867019E-16,0.759284917148762,0.4567,1
47.495,-0.00235619838349521,-0.00117809919174761,,,47.495,-0.000955938635015072,,,,,,,,,,,,,0.000815166975953852,-0.0132490765765879,0.0132741300027903,0.9134,2
47.563,-0.00176714872941375,-0.00117809919174761,,,47.563,-0.00103705964445494,,,,,,,,,,,,,-0.00583711565364313,0.0114702737590569,0.0128700854411194,1.3701,3
47.638,-0.00176714872941375,-0.00117809919174761,,,47.638,-0.00111006855295082,,,,,,,,,,,,,-0.0141580112081495,-0.000638550921848138,0.0141724037710573,1.8268,4
47.714,-0.00117809919174761,0,,,47.714,-0.0011168716168305,,,,,,,,,,,,,0.00834093919119978,0.00356848759820837,0.00907223072512265,2.2835,5
47.79,-0.00117809919174761,-0.00117809919174761,,,47.79,-0.00112299437432221,,,,,,,,,,,,,-0.00722891624055429,0.000832930094035854,0.00727674395279235,2.7402,6
47.924,-0.00117809919174761,-0.000589049595873803,,,47.924,-0.00112850485606475,,,,,,,,,,,,,0.00649381399178596,0.0117585127055453,0.013432506884658,3.1969,7
47.988,-0.00117809919174761,0,,,47.988,-0.00113346428963303,,,,,,,,,,,,,0.0082854946362085,-0.00882478477627179,0.0121048026714258,3.6536,8
48.051,-0.00117809919174761,-0.00117809919174761,,,48.051,-0.00113792777984449,,,,,,,,,,,,,0.00353092663406154,-0.0204393408964286,0.0207420852176328,4.1103,9
48.121,-0.00176714872941375,-0.00117809919174761,,,48.121,-0.00120084987480142,,,,,,,,,,,,,-0.0110061814708,0.00677913043023643,0.0129264318339726,4.567,10
48.197,-0.00117809919174761,-0.00117809919174761,,,48.197,-0.00119857480649604,,,,,,,,,,,,,0.0138501719756236,-0.00899767425434259,0.0165162164475284,5.0237,11
48.262,-0.00117809919174761,-0.000589049595873803,,,48.262,-0.00119652724502119,,,,,,,,,,,,,0.00954732407282864,-0.00214401352750468,0.0097851004572123,5.4804,12
48.334,-0.00176714872941375,-0.00117809919174761,,,48.334,-0.00125358939346045,,,,,,,,,,,,,-0.00410668912904361,-0.00455189009184937,0.00613062794588624,5.9371,13
48.41,-0.0035342974588275,-0.00235619838349521,,,48.41,-0.00148166019999715,,,,,,,,,,,,,-0.00978709356774492,0.000114288100977429,0.00978776084065293,6.3938,14
48.483,-0.00176714872941375,-0.00117809919174761,,,48.483,-0.00151020905293881,,,,,,,,,,,,,0.00719819442227453,-0.00154714965527796,0.00736258616225921,6.8505,15
48.551,-0.00235619838349521,-0.00117809919174761,,,48.551,-0.00159480798599445,,,,,,,,,,,,,0.00437979250889358,-0.00631453520774104,0.00768478609401468,7.3072,16
48.623,-0.00176714872941375,-0.00117809919174761,,,48.623,-0.00161204206033638,,,,,,,,,,,,,-0.00692596002304787,-0.00385637432756402,0.00792720286072913,7.7639,17
48.702,-0.00117809919174761,-0.00117809919174761,,,48.702,-0.0015686477734775,,,,,,,,,,,,,-0.000523420183896792,0.0135821688860667,0.013592250745868,8.2206,18
48.775,-0.00117809919174761,-0.00117809919174761,,,48.775,-0.00152959291530451,,,,,,,,,,,,,0.00170204309099413,0.00223420016553521,0.00280866535266813,8.6773,19
48.852,-0.00235619838349521,-0.00117809919174761,,,48.852,-0.00161225346212358,,,,,,,,,,,,,-0.00966889403776073,-0.00109202281979639,0.00973036616743692,9.134,20
48.931,-0.00176714872941375,-0.00117809919174761,,,48.931,-0.0016277429888526,,,,,,,,,,,,,-0.00091477422817347,-0.0172250357712127,0.0172493092385778,9.5907,21
49.005,-0.000589049595873803,0,,,49.005,-0.00152387364955472,,,,,,,,,,,,,-0.0122892511022779,-0.0208933756407631,0.0242396129985789,10.0474,22
49.079,-0.000589049595873803,0,,,49.079,-0.00143039124418663,,,,,,,,,,,,,0.0103091925029331,-0.000755739266575634,0.0103368559969449,10.5041,23
49.163,-0.00117809919174761,-0.000589049595873803,,,49.163,-0.00140516203894273,,,,,,,,,,,,,0.00738451219645995,-0.00081919883101614,0.00742981205040908,10.9608,24
49.235,-0.00176714872941375,-0.00117809919174761,,,49.235,-0.00144136070798983,,,,,,,,,,,,,-0.00117033623410008,-0.00376606260327059,0.00394371835107438,11.4175,25
49.306,-0.00176714872941375,-0.00117809919174761,,,49.306,-0.00147393951013222,,,,,,,,,,,,,-0.00819764422889677,0.0116381105049088,0.0142354131316247,11.8742,26
49.383,-0.00117809919174761,-0.00117809919174761,,,49.383,-0.00144435547829376,,,,,,,,,,,,,-0.00473801975271059,-0.0156019562111899,0.0163055165141422,12.3309,27
49.458,-0.00117809919174761,-0.000589049595873803,,,49.458,-0.00141772984963914,,,,,,,,,,,,,0.0124389103279688,-0.0166029712779758,0.0207457259551104,12.7876,28
